Season,Region,Average PV (ore/kWh),Period
Winter,O_Vestavind1,140.41752630895746,2045
Winter,O_Vestavind1,136.79636090263756,2050
Winter,O_Vestavind2,135.76342388196775,2050
Winter,O_Vestavind2,134.81055249504433,2045
Winter,O_Sorvest,131.63430327777547,2050
Winter,O_Sorvest,120.03686498253755,2045
Winter,O_Vestavind2,116.86312670534085,2040
Winter,O_Nordvest,114.65080557936687,2045
Winter,O_Vestavind1,112.63924791022536,2040
Winter,O_Nordvest,111.67364372194444,2050
Winter,O_Nordavind,101.89401253672807,2045
Winter,O_Nordvest,96.93875508353466,2040
Winter,O_Nordavind,96.83861347806933,2050
Winter,O_Sorvest,95.09755341592646,2040
Winter,O_Vestavind2,86.69829583859467,2035
Spring,O_Vestavind1,82.53416920859446,2040
Spring,O_Vestavind1,82.26614962810314,2045
Spring,O_Vestavind2,82.20938768195879,2040
Fall,O_Vestavind2,82.1187531095272,2040
Fall,O_Vestavind1,80.01111240162574,2040
Fall,O_Vestavind2,79.5337245509279,2035
Winter,O_Vestavind1,79.49635608287441,2035
Spring,O_Vestavind2,79.45777973561397,2035
Spring,O_Vestavind1,79.2848679531398,2035
Fall,O_Vestavind2,78.93260424720498,2045
Fall,O_Vestavind1,77.73057008502202,2045
Spring,O_Vestavind2,77.37014108343311,2045
Spring,O_Nordvest,76.57320430366332,2040
Fall,O_Vestavind1,75.70084941000886,2035
Spring,O_Vestavind1,73.02244730514593,2050
Spring,O_Nordavind,72.82090269746463,2045
Summer,O_Nordvest,71.64425307451657,2035
Spring,O_Vestavind2,71.38587793487137,2050
Spring,O_Nordavind,71.37041699148695,2040
Winter,O_Nordavind,71.24849463236265,2040
Fall,O_Nordvest,71.11799122095495,2040
Spring,O_Nordvest,71.08126904647102,2045
Summer,O_Nordavind,71.01594649559198,2035
Summer,O_Vestavind2,70.75942175011663,2035
Fall,O_Nordavind,70.55134107037178,2040
Spring,O_Nordvest,70.00715774617979,2035
Summer,O_Vestavind1,68.97192411825804,2035
Summer,O_Nordvest,68.96099469896275,2040
Fall,O_Nordavind,68.88685543993853,2045
Summer,O_Nordavind,68.30178619548354,2040
Fall,O_Vestavind2,66.4309436329689,2050
Winter,O_Sorvest,65.52396472052725,2035
Fall,O_Nordvest,64.37999452877887,2045
Fall,O_Vestavind1,64.09520456740947,2050
Summer,O_Vestavind2,63.993456528573475,2040
Spring,O_Nordavind,63.96809387329584,2035
Spring,O_Nordvest,63.784281929468364,2050
Fall,O_Nordavind,63.577104931862685,2035
Fall,O_Nordvest,63.566847919013334,2035
Spring,O_Nordavind,63.208399849585405,2050
Summer,O_Vestavind1,63.101620151411204,2040
Winter,O_Nordvest,61.38706717407905,2035
Summer,O_Nordavind,59.69171950175949,2045
Fall,O_Sorvest,59.03722044254001,2040
Spring,O_Vestavind2,58.99454955328137,2030
Summer,O_Vestavind2,58.041625808624815,2030
Winter,O_Vestavind2,56.9139066541714,2030
Fall,O_Sorvest,55.83008672278849,2035
Fall,O_Vestavind2,54.86971738727883,2030
Fall,O_Sorvest,53.88196109847455,2045
Summer,O_Vestavind1,53.18063903517549,2045
Fall,O_Nordavind,52.17802119887948,2050
Spring,O_Sorvest,52.176732898435546,2035
Summer,O_Nordvest,51.821979469151174,2045
Summer,O_Vestavind2,51.48943292213395,2045
Fall,O_Nordvest,51.1764590410251,2050
Spring,O_Sorvest,49.972416902645364,2040
Spring,O_Sorvest,48.98720858754415,2050
Fall,O_Sorvest,48.458492507572856,2050
Spring,O_Sorvest,46.11372527149199,2045
Summer,O_Nordavind,42.6793566742665,2050
Summer,O_Sorvest,41.551676372186805,2035
Summer,O_Vestavind2,41.35963085208796,2050
Summer,O_Vestavind1,40.836235391810284,2050
Summer,O_Nordvest,38.78232649432575,2050
Summer,O_Sorvest,37.04284983775845,2040
Winter,O_Nordavind,35.61016975336472,2035
Winter,O_Sorvest,33.24731829535372,2030
Fall,O_Sorvest,28.85345771548116,2030
Summer,O_Sorvest,28.76077655774613,2045
Spring,O_Sorvest,28.52737475641224,2030
Summer,O_Sorvest,25.12574180984963,2050
Summer,O_Sorvest,24.274569151035173,2030
