Season,Region,Average PV (ore/kWh),Period
Fall,O_Vestavind1,192.31485507063206,2030
Summer,O_Vestavind1,172.69929450617443,2030
Winter,O_Nordvest,150.81465900184907,2030
Winter,O_Nordavind,147.92740408692765,2030
Fall,O_Nordvest,140.7305600439969,2030
Spring,O_Nordvest,140.5396636437224,2030
Spring,O_Nordavind,140.5089413445897,2030
Fall,O_Nordavind,138.44843017538867,2030
Summer,O_Nordavind,122.56315266499048,2030
Winter,O_Nordvest,121.69803307163784,2040
Summer,O_Nordvest,119.93457785920869,2030
Spring,O_Nordvest,116.59101712440454,2045
Fall,O_Nordvest,116.15278193643523,2045
Spring,O_Nordvest,111.59120327902056,2040
Winter,O_Vestavind1,109.45100157060247,2040
Fall,O_Nordvest,104.25005973717234,2040
Winter,O_Nordvest,102.44557151244283,2045
Fall,O_Vestavind1,99.73146932165997,2040
Summer,O_Nordvest,98.57506283867113,2045
Winter,O_Vestavind1,97.74975686861433,2035
Winter,O_Vestavind2,94.30611011616435,2040
Spring,O_Vestavind1,94.20121480623041,2040
Winter,O_Vestavind2,92.98195750188086,2045
Winter,O_Vestavind1,92.76735484678069,2045
Winter,O_Vestavind2,90.57789291390014,2030
Winter,O_Vestavind2,89.93224013061956,2035
Summer,O_Nordvest,89.47087453564953,2040
Fall,O_Vestavind2,87.77292808547342,2040
Fall,O_Vestavind1,85.91902535744524,2045
Fall,O_Vestavind1,85.37443830656663,2035
Fall,O_Vestavind2,84.27091663980845,2035
Spring,O_Vestavind1,84.0621199169863,2035
Fall,O_Vestavind2,81.76127067687062,2045
Fall,O_Vestavind2,81.50529659179702,2030
Spring,O_Vestavind2,79.94076300424601,2040
Spring,O_Vestavind2,78.7521373884842,2035
Spring,O_Vestavind1,78.08136514645302,2045
Winter,O_Nordvest,77.74424779583754,2035
Spring,O_Vestavind2,77.67617937187741,2030
Spring,O_Nordvest,77.53926365671654,2050
Fall,O_Nordvest,77.19857193317617,2050
Fall,O_Nordvest,76.23081964629975,2035
Summer,O_Vestavind1,75.24262176860871,2040
Spring,O_Vestavind2,70.444793099279,2045
Spring,O_Nordvest,69.5836392301609,2035
Winter,O_Vestavind2,68.88701542672148,2050
Winter,O_Nordavind,68.32578190633964,2045
Winter,O_Nordavind,67.36645651540863,2040
Winter,O_Sorvest,66.43974795907819,2040
Winter,O_Nordavind,65.70487929001635,2050
Summer,O_Vestavind2,65.01598481734278,2035
Summer,O_Vestavind2,64.77604319507584,2040
Summer,O_Vestavind2,64.69305784157326,2030
Winter,O_Nordavind,64.04876449527869,2035
Summer,O_Vestavind1,62.67275642510987,2035
Winter,O_Sorvest,62.57125121740866,2045
Spring,O_Nordavind,62.47889678010263,2050
Fall,O_Nordavind,62.427651811753606,2050
Winter,O_Vestavind1,62.09708336858913,2050
Summer,O_Vestavind1,62.08603728544989,2045
Summer,O_Vestavind2,62.000177073773784,2045
Fall,O_Vestavind2,61.788275457092766,2050
Winter,O_Sorvest,61.74680232162291,2035
Winter,O_Sorvest,61.0825795172445,2050
Summer,O_Nordvest,60.065548639177734,2050
Fall,O_Nordavind,59.98492148299196,2045
Spring,O_Nordavind,59.83982235487464,2045
Summer,O_Nordvest,59.524480637843965,2035
Winter,O_Sorvest,58.7485236155214,2030
Fall,O_Sorvest,57.392868434924694,2040
Fall,O_Nordavind,56.99577735603428,2040
Spring,O_Nordavind,56.55542404083705,2040
Fall,O_Vestavind1,55.20401324225844,2050
Fall,O_Nordavind,54.19246642351495,2035
Fall,O_Sorvest,53.30268213119549,2050
Fall,O_Sorvest,53.20393902423854,2045
Fall,O_Sorvest,52.886017312857085,2035
Spring,O_Nordavind,51.44950208436457,2035
Fall,O_Sorvest,50.91963834852754,2030
Spring,O_Sorvest,47.72141898997358,2035
Spring,O_Sorvest,46.26945436761271,2030
Summer,O_Nordavind,46.076121631877974,2050
Spring,O_Sorvest,45.90711984434225,2040
Summer,O_Sorvest,44.98645689625278,2045
Summer,O_Sorvest,44.42465142842117,2040
Summer,O_Sorvest,44.06218600503209,2030
Summer,O_Sorvest,43.91276542454957,2050
Spring,O_Vestavind1,42.72141921554301,2050
Summer,O_Vestavind1,42.69862307872484,2050
Summer,O_Nordavind,42.65816087704573,2045
Spring,O_Vestavind2,41.850474875238895,2050
Summer,O_Sorvest,40.95602165285624,2035
Spring,O_Sorvest,39.387807609396475,2045
Spring,O_Sorvest,38.838754294889554,2050
Summer,O_Nordavind,38.66918965161581,2035
Summer,O_Vestavind2,35.85702182733199,2050
Summer,O_Nordavind,35.7284749966726,2040
