Season,Region,Average PV (ore/kWh),Period
Winter,NO1,162.49891182893654,2045
Winter,NO4,159.72258964484044,2045
Winter,NO3,159.4152839206661,2045
Winter,NO5,159.0530989733745,2045
Winter,NO2,158.63748908211247,2045
Winter,NO2,158.21856408291615,2050
Winter,NO1,157.49629300184375,2050
Winter,NO5,154.34636713003462,2050
Winter,NO3,149.94454266281443,2050
Winter,NO4,148.67774649624062,2050
Winter,NO1,132.13088343476605,2040
Winter,NO4,130.01381874191821,2040
Winter,NO3,129.95400019381125,2040
Winter,NO5,129.4882657653696,2040
Winter,NO2,129.12753463885312,2040
Winter,NO1,98.91569322416194,2035
Winter,NO5,96.93737936127441,2035
Winter,NO2,96.93737935703199,2035
Winter,NO3,96.6642346675183,2035
Winter,NO4,95.55653760001772,2035
Fall,NO1,91.0259750108413,2040
Fall,NO2,90.72656051536975,2040
Fall,NO5,90.00601635634402,2040
Spring,NO1,89.46880892505273,2045
Fall,NO1,89.34040462015273,2045
Fall,NO2,89.26025221653745,2045
Spring,NO5,88.84358444794206,2045
Spring,NO1,88.81375423327987,2040
Spring,NO3,88.4564640646548,2045
Fall,NO5,88.29466733201083,2045
Spring,NO5,88.2225571675613,2040
Spring,NO4,87.9448521667868,2045
Spring,NO2,87.39072628288113,2040
Fall,NO3,87.11321400576409,2040
Fall,NO2,86.9616123939205,2035
Fall,NO1,86.81208391620208,2035
Spring,NO3,86.45295782921556,2040
Fall,NO4,86.15824261078274,2040
Spring,NO4,85.66594465860581,2040
Fall,NO5,85.64388953106882,2035
Fall,NO3,85.54140644949707,2045
Fall,NO4,84.93454521430075,2045
Spring,NO1,84.79121381391361,2035
Spring,NO5,84.13784949548663,2035
Spring,NO2,83.72166954719748,2045
Spring,NO2,83.13031361958602,2035
Fall,NO3,81.81185551468656,2035
Spring,NO3,81.05063939150764,2035
Fall,NO4,80.76195904538203,2035
Spring,NO1,80.60499684800874,2050
Spring,NO5,79.98174430627715,2050
Spring,NO4,79.44569136107471,2035
Spring,NO3,79.10361229890522,2050
Spring,NO4,78.45119044964004,2050
Spring,NO2,77.32107426244579,2050
Fall,NO2,76.13847736215953,2050
Fall,NO1,75.6182165790756,2050
Fall,NO5,74.15813754494924,2050
Summer,NO2,70.62457775926421,2035
Summer,NO1,70.2718830686359,2035
Summer,NO4,70.25812798975461,2035
Summer,NO3,69.53092477999425,2035
Winter,NO1,69.06650975769918,2030
Summer,NO5,68.86644546358652,2035
Fall,NO3,67.71657644625236,2050
Winter,NO2,67.68517956482953,2030
Winter,NO5,67.68517956427677,2030
Summer,NO4,67.31948191339006,2040
Fall,NO4,67.01492434902133,2050
Winter,NO3,66.80117974491668,2030
Summer,NO3,66.53722806759603,2040
Winter,NO1,66.33612318088214,2020
Winter,NO1,65.6671037488955,2025
Summer,NO1,65.55694663548039,2040
Summer,NO2,65.54314310818131,2040
Winter,NO4,65.46515615367136,2030
Winter,NO5,65.00940070118882,2020
Winter,NO2,64.84168910279891,2020
Summer,NO5,64.2589556933584,2040
Spring,NO1,63.76144079060258,2030
Winter,NO3,63.75266830403096,2020
Fall,NO1,63.65039615561331,2030
Winter,NO5,63.52792974349294,2025
Spring,NO1,62.95442331071176,2020
Spring,NO5,62.79664605103746,2030
Fall,NO5,62.607275686150764,2030
Spring,NO2,62.48621198077361,2030
Fall,NO2,62.40174101981597,2030
Winter,NO2,62.39145306916011,2025
Spring,NO5,61.69533483697832,2020
Spring,NO3,61.54071306948951,2030
Spring,NO2,61.52762323713914,2020
Winter,NO4,61.33969485253723,2020
Fall,NO1,61.26009280817815,2020
Fall,NO3,61.16483049787264,2030
Fall,NO2,60.88247342493988,2020
Summer,NO2,60.62494964790708,2020
Spring,NO3,60.4065399005583,2020
Spring,NO4,60.309898812845596,2030
Fall,NO4,60.06199167682852,2030
Fall,NO5,60.04664833910763,2020
Summer,NO4,59.39189157446019,2045
Summer,NO1,59.3339280915765,2020
Spring,NO4,58.949447983385184,2020
Winter,NO3,58.837465528224584,2025
Spring,NO1,58.7879951493623,2025
Fall,NO1,58.73790956372578,2025
Fall,NO3,58.717887760198906,2020
Summer,NO3,58.41260264944418,2045
Fall,NO4,58.31577046213268,2020
Summer,NO5,58.14724953557474,2020
Summer,NO2,57.687251444316566,2030
Summer,NO3,57.284199005500156,2020
Summer,NO1,57.18709137952622,2030
Spring,NO5,56.8238348244641,2025
Summer,NO4,56.760090721126986,2020
Fall,NO5,56.73731944917381,2025
Summer,NO1,56.45202425997576,2045
Summer,NO5,56.09786823699079,2030
Summer,NO2,55.72136683224077,2045
Spring,NO2,55.649926652685416,2025
Fall,NO2,55.60084277806677,2025
Summer,NO5,55.32298379308812,2045
Summer,NO3,55.19410779466576,2030
Summer,NO4,54.41647976542455,2030
Summer,NO2,53.64724724962006,2025
Spring,NO3,52.52511596860437,2025
Fall,NO3,52.52511594195913,2025
Winter,NO4,51.47461366053384,2025
Spring,NO4,51.47461362290234,2025
Fall,NO4,51.47461361997381,2025
Summer,NO1,50.663691628314375,2025
Summer,NO5,48.82458588021457,2025
Summer,NO2,44.787347542391686,2050
Summer,NO3,44.6608719846414,2025
Summer,NO1,44.05790600606488,2050
Summer,NO4,43.76765460025783,2025
Summer,NO5,43.17674791253255,2050
Summer,NO3,42.12435850083999,2050
Summer,NO4,41.70208259502876,2050
