Period,Process,Sum of PV,Region
2050,EE-WIND_OFF_S6,1749.99999996518,O_Sorvest
2045,EE-WIND_OFF_S6,1749.99999984474,O_Sorvest
2040,EE-WIND_OFF_S6,1500.0000001282,O_Sorvest
2030,EE-WIND_OFF_S6,1500,O_Sorvest
2035,EE-WIND_OFF_S6,1500,O_Sorvest
2050,EE-WIND_OFF_S5,499.999999949613,O_Sorvest
2050,EE-WIND_OFF_S3,499.999999936938,O_Sorvest
2045,EE-WIND_OFF_S5,499.99999990213,O_Sorvest
2050,EE-WIND_OFF_S2,499.999999882877,O_Sorvest
2045,EE-WIND_OFF_S3,499.999999870603,O_Sorvest
2045,EE-WIND_OFF_S2,499.999999732983,O_Sorvest
2040,EE-WIND_OFF_S5,499.999999649105,O_Sorvest
2050,EE-WIND_OFF_S1,499.999999583443,O_Sorvest
2040,EE-WIND_OFF_S3,499.999998122951,O_Sorvest
2045,EE-WIND_OFF_S1,499.845466432664,O_Sorvest
2050,EE-WIND_OFF,0.0000296215700217032,O_Vestavind2
2045,EE-WIND_OFF,0.0000286612641585598,O_Vestavind2
2050,EE-WIND_OFF,0.0000115589791143326,O_Vestavind1
2045,EE-WIND_OFF,0.0000114539310170355,O_Vestavind1
2050,EE-WIND_OFF,0.00000982894607030965,O_Nordavind
2045,EE-WIND_OFF,0.00000981497305984432,O_Nordavind
2040,EE-WIND_OFF,0.00000980383911775151,O_Nordavind
2035,EE-WIND_OFF,0.00000978063660619402,O_Nordavind
2040,EE-WIND_OFF,0.00000950986236343667,O_Vestavind1
2035,EE-WIND_OFF,0.00000948815343156548,O_Vestavind1
2040,EE-WIND_OFF,0.00000644067559469218,O_Vestavind2
2035,EE-WIND_OFF,0.00000516135788109686,O_Vestavind2
2030,EE-WIND_OFF,0.00000494999509126266,O_Vestavind2
2050,EE-WIND_OFF,0.0000032231965638147,O_Nordvest
2040,EE-WIND_OFF,0.00000320697250454363,O_Nordvest
2045,EE-WIND_OFF,0.00000320697250454363,O_Nordvest
2035,EE-WIND_OFF,0.00000312904322179303,O_Nordvest
2050,EE-WIND_OFF_S4,4.32509437734214e-7,O_Sorvest
2040,EE-WIND_OFF_S2,2.49873489629881e-7,O_Sorvest
2045,EE-WIND_OFF_S4,2.02803867890658e-7,O_Sorvest
2040,EE-WIND_OFF_S1,1.16228776637493e-7,O_Sorvest
2040,EE-WIND_OFF_S4,5.95119933890594e-8,O_Sorvest
2050,EE-WIND_OFF_S7,5.91441704809501e-8,O_Sorvest
2045,EE-WIND_OFF_S7,2.62668554759485e-8,O_Sorvest
2035,EE-WIND_OFF_S5,1.42601973310165e-8,O_Sorvest
2035,EE-WIND_OFF_S3,1.32619268100801e-8,O_Sorvest
2040,EE-WIND_OFF_S7,1.07073623820369e-8,O_Sorvest
2035,EE-WIND_OFF_S2,1.0561422951809e-8,O_Sorvest
