TimeSliceSorted,Region,Average PV (ore/kWh),Period
01_SP_01,NO1,63.629570394716595,2030
01_SP_01,NO1,89.1592846331376,2035
01_SP_01,NO1,95.1777052726584,2040
01_SP_01,NO1,97.0543900979288,2045
01_SP_01,NO1,89.7902768651491,2050
01_SP_01,NO2,62.3569789965487,2030
01_SP_01,NO2,87.4319770812925,2035
01_SP_01,NO2,94.7039691942574,2040
01_SP_01,NO2,95.2748058448619,2045
01_SP_01,NO2,88.0803047113084,2050
01_SP_01,NO3,61.5407130577664,2030
01_SP_01,NO3,84.082825172269,2035
01_SP_01,NO3,91.4086681303894,2040
01_SP_01,NO3,94.50629384136509,2045
01_SP_01,NO3,85.560407047099,2050
01_SP_01,NO4,60.3098988122217,2030
01_SP_01,NO4,82.4011688381675,2035
01_SP_01,NO4,90.9817818049336,2040
01_SP_01,NO4,94.50629366077291,2045
01_SP_01,NO4,83.8491991201175,2050
01_SP_01,NO5,62.79664605198089,2030
01_SP_01,NO5,87.3760989751928,2035
01_SP_01,NO5,93.2741511881502,2040
01_SP_01,NO5,95.1133022946595,2045
01_SP_01,NO5,87.9944713256843,2050
01_SP_02,NO1,63.6206730008573,2030
01_SP_02,NO1,89.1592846314732,2035
01_SP_02,NO1,95.1777052713153,2040
01_SP_02,NO1,97.0543900965764,2045
01_SP_02,NO1,89.7902768613416,2050
01_SP_02,NO2,62.348259550448596,2030
01_SP_02,NO2,87.4319770812836,2035
01_SP_02,NO2,94.7039691942359,2040
01_SP_02,NO2,95.274805844842,2045
01_SP_02,NO2,88.0803047112505,2050
01_SP_02,NO3,61.5407130577644,2030
01_SP_02,NO3,83.9938900618575,2035
01_SP_02,NO3,91.408668125843,2040
01_SP_02,NO3,94.3330891127497,2045
01_SP_02,NO3,85.0379700180133,2050
01_SP_02,NO4,60.30989881221289,2030
01_SP_02,NO4,82.3140122838996,2035
01_SP_02,NO4,90.87032273374861,2040
01_SP_02,NO4,94.3330889134331,2045
01_SP_02,NO4,83.3372106646845,2050
01_SP_02,NO5,62.796646051972004,2030
01_SP_02,NO5,87.3760989751318,2035
01_SP_02,NO5,93.2741511880004,2040
01_SP_02,NO5,95.1133022939855,2045
01_SP_02,NO5,87.9944713235661,2050
01_SP_03,NO1,63.727004401905006,2030
01_SP_03,NO1,89.1592846354832,2035
01_SP_03,NO1,95.17770527043271,2040
01_SP_03,NO1,97.0543900658467,2045
01_SP_03,NO1,89.79027686028931,2050
01_SP_03,NO2,62.4524643238524,2030
01_SP_03,NO2,87.4319770812811,2035
01_SP_03,NO2,94.7039691942231,2040
01_SP_03,NO2,95.2748058448252,2045
01_SP_03,NO2,88.08030471153009,2050
01_SP_03,NO3,61.540713057820405,2030
01_SP_03,NO3,84.3844798685151,2035
01_SP_03,NO3,91.4086681215863,2040
01_SP_03,NO3,94.2286946448157,2045
01_SP_03,NO3,84.8391089545612,2050
01_SP_03,NO4,60.30989881220491,2030
01_SP_03,NO4,82.6967904453283,2035
01_SP_03,NO4,91.0463107129762,2040
01_SP_03,NO4,94.2286944234747,2045
01_SP_03,NO4,83.1423268242242,2050
01_SP_03,NO5,62.7966460519728,2030
01_SP_03,NO5,87.37609897523019,2035
01_SP_03,NO5,93.274151187906,2040
01_SP_03,NO5,95.1133022874513,2045
01_SP_03,NO5,87.9944713231797,2050
01_SP_04,NO1,63.7760634326862,2030
01_SP_04,NO1,89.1592846499915,2035
01_SP_04,NO1,95.177705298939,2040
01_SP_04,NO1,97.0543900930762,2045
01_SP_04,NO1,89.79027685726541,2050
01_SP_04,NO2,62.5005421666615,2030
01_SP_04,NO2,87.4319770810024,2035
01_SP_04,NO2,94.7039691931779,2040
01_SP_04,NO2,95.2748058446906,2045
01_SP_04,NO2,88.08030470914319,2050
01_SP_04,NO3,61.540713065198204,2030
01_SP_04,NO3,84.7191889371671,2035
01_SP_04,NO3,91.4086681079963,2040
01_SP_04,NO3,94.27474832590279,2045
01_SP_04,NO3,84.7544011838134,2050
01_SP_04,NO4,60.3098988126074,2030
01_SP_04,NO4,83.0248053387545,2035
01_SP_04,NO4,91.2681323834142,2040
