TimeSliceSorted,Sum of PV,Process,Region
01_SP_01,4.53463100196121e-7,EE-WIND_OFF,O_Nordavind
01_SP_01,1.3895438044296e-7,EE-WIND_OFF,O_Nordvest
01_SP_01,4.9292323504873e-7,EE-WIND_OFF,O_Vestavind1
01_SP_01,0.00000129688478401711,EE-WIND_OFF,O_Vestavind2
01_SP_01,23.6347243501106,EE-WIND_OFF_S1,O_Sorvest
01_SP_01,23.5479914304198,EE-WIND_OFF_S2,O_Sorvest
01_SP_01,23.8949231668143,EE-WIND_OFF_S3,O_Sorvest
01_SP_01,2.07342428148745e-8,EE-WIND_OFF_S4,O_Sorvest
01_SP_01,24.3285878347305,EE-WIND_OFF_S5,O_Sorvest
01_SP_01,84.846492161248,EE-WIND_OFF_S6,O_Sorvest
01_SP_01,2.95683739821339e-9,EE-WIND_OFF_S7,O_Sorvest
01_SP_02,4.53760508769284e-7,EE-WIND_OFF,O_Nordavind
01_SP_02,1.37588198352281e-7,EE-WIND_OFF,O_Nordvest
01_SP_02,4.93220296058201e-7,EE-WIND_OFF,O_Vestavind1
01_SP_02,0.00000130352729981314,EE-WIND_OFF,O_Vestavind2
01_SP_02,23.5153691114977,EE-WIND_OFF_S1,O_Sorvest
01_SP_02,23.4290741926134,EE-WIND_OFF_S2,O_Sorvest
01_SP_02,23.7742539254912,EE-WIND_OFF_S3,O_Sorvest
01_SP_02,2.06295349933672e-8,EE-WIND_OFF_S4,O_Sorvest
01_SP_02,24.2057285890244,EE-WIND_OFF_S5,O_Sorvest
01_SP_02,84.418017804308,EE-WIND_OFF_S6,O_Sorvest
01_SP_02,2.94190538428443e-9,EE-WIND_OFF_S7,O_Sorvest
01_SP_03,4.53675534891238e-7,EE-WIND_OFF,O_Nordavind
01_SP_03,1.37369609217772e-7,EE-WIND_OFF,O_Nordvest
01_SP_03,4.93319316394691e-7,EE-WIND_OFF,O_Vestavind1
01_SP_03,0.00000130950556402956,EE-WIND_OFF,O_Vestavind2
01_SP_03,23.4580785969636,EE-WIND_OFF_S1,O_Sorvest
01_SP_03,23.3719939184663,EE-WIND_OFF_S2,O_Sorvest
01_SP_03,23.716332689656,EE-WIND_OFF_S3,O_Sorvest
01_SP_03,2.05792752390437e-8,EE-WIND_OFF_S4,O_Sorvest
01_SP_03,24.1467561510854,EE-WIND_OFF_S5,O_Sorvest
01_SP_03,84.2123501129768,EE-WIND_OFF_S6,O_Sorvest
01_SP_03,2.93473801759853e-9,EE-WIND_OFF_S7,O_Sorvest
01_SP_04,4.53123204683934e-7,EE-WIND_OFF,O_Nordavind
01_SP_04,1.37151020083264e-7,EE-WIND_OFF,O_Nordvest
01_SP_04,4.90992338487169e-7,EE-WIND_OFF,O_Vestavind1
01_SP_04,0.00000131163116908429,EE-WIND_OFF,O_Vestavind2
01_SP_04,23.4031751872017,EE-WIND_OFF_S1,O_Sorvest
01_SP_04,23.3172919890754,EE-WIND_OFF_S2,O_Sorvest
01_SP_04,23.6608248386474,EE-WIND_OFF_S3,O_Sorvest
01_SP_04,2.05311096411503e-8,EE-WIND_OFF_S4,O_Sorvest
01_SP_04,24.0902408980606,EE-WIND_OFF_S5,O_Sorvest
01_SP_04,84.0152519087844,EE-WIND_OFF_S6,O_Sorvest
01_SP_04,2.9278692911912e-9,EE-WIND_OFF_S7,O_Sorvest
01_SP_05,4.52953256927841e-7,EE-WIND_OFF,O_Nordavind
01_SP_05,1.37055387336916e-7,EE-WIND_OFF,O_Nordvest
01_SP_05,4.88318789401931e-7,EE-WIND_OFF,O_Vestavind1
01_SP_05,0.00000130804421055444,EE-WIND_OFF,O_Vestavind2
01_SP_05,23.3936267681127,EE-WIND_OFF_S1,O_Sorvest
01_SP_05,23.3077786100509,EE-WIND_OFF_S2,O_Sorvest
01_SP_05,23.6511712993415,EE-WIND_OFF_S3,O_Sorvest
01_SP_05,2.05227330154297e-8,EE-WIND_OFF_S4,O_Sorvest
01_SP_05,24.0804121584041,EE-WIND_OFF_S5,O_Sorvest
01_SP_05,83.9809739602292,EE-WIND_OFF_S6,O_Sorvest
01_SP_05,2.92667473007689e-9,EE-WIND_OFF_S7,O_Sorvest
01_SP_06,4.51933570391281e-7,EE-WIND_OFF,O_Nordavind
01_SP_06,1.37287638292332e-7,EE-WIND_OFF,O_Nordvest
01_SP_06,4.85298669138977e-7,EE-WIND_OFF,O_Vestavind1
01_SP_06,0.00000129595483180566,EE-WIND_OFF,O_Vestavind2
01_SP_06,23.3697557203901,EE-WIND_OFF_S1,O_Sorvest
01_SP_06,23.2839951624896,EE-WIND_OFF_S2,O_Sorvest
01_SP_06,23.6270374510769,EE-WIND_OFF_S3,O_Sorvest
01_SP_06,2.05017914511283e-8,EE-WIND_OFF_S4,O_Sorvest
01_SP_06,24.0558403092629,EE-WIND_OFF_S5,O_Sorvest
01_SP_06,83.8952790888413,EE-WIND_OFF_S6,O_Sorvest
01_SP_06,2.92368832729109e-9,EE-WIND_OFF_S7,O_Sorvest
01_SP_07,4.51551187940071e-7,EE-WIND_OFF,O_Nordavind
01_SP_07,1.3708271097873e-7,EE-WIND_OFF,O_Nordvest
01_SP_07,4.82377569212513e-7,EE-WIND_OFF,O_Vestavind1
01_SP_07,0.00000128426400400465,EE-WIND_OFF,O_Vestavind2
01_SP_07,23.4031751872017,EE-WIND_OFF_S1,O_Sorvest
01_SP_07,23.3172919890754,EE-WIND_OFF_S2,O_Sorvest
01_SP_07,23.6608248386474,EE-WIND_OFF_S3,O_Sorvest
01_SP_07,2.05311096411503e-8,EE-WIND_OFF_S4,O_Sorvest
01_SP_07,24.0902408980606,EE-WIND_OFF_S5,O_Sorvest
01_SP_07,84.0152519087844,EE-WIND_OFF_S6,O_Sorvest
01_SP_07,2.9278692911912e-9,EE-WIND_OFF_S7,O_Sorvest
01_SP_08,4.50828909976674e-7,EE-WIND_OFF,O_Nordavind
01_SP_08,1.36590885426085e-7,EE-WIND_OFF,O_Nordvest
01_SP_08,4.79159408276578e-7,EE-WIND_OFF,O_Vestavind1
01_SP_08,0.00000127735578757677,EE-WIND_OFF,O_Vestavind2
01_SP_08,23.4485301778745,EE-WIND_OFF_S1,O_Sorvest
01_SP_08,23.3624805394418,EE-WIND_OFF_S2,O_Sorvest
01_SP_08,23.7066791503502,EE-WIND_OFF_S3,O_Sorvest
01_SP_08,2.05708986133231e-8,EE-WIND_OFF_S4,O_Sorvest
01_SP_08,24.1369274114289,EE-WIND_OFF_S5,O_Sorvest
