Season,Region,Average PV (ore/kWh),Period
Winter,NO3,128.34205048444244,2045
Winter,NO3,128.25875858810988,2040
Spring,NO3,118.97042563714724,2045
Fall,NO3,118.52324687391342,2045
Fall,NO3,116.35308038198157,2040
Spring,NO3,116.32119137547775,2040
Winter,NO1,113.96890373043462,2040
Winter,NO5,111.68952565582617,2040
Fall,NO1,103.93260916245784,2040
Fall,NO5,102.39811101011463,2040
Summer,NO3,100.58679881497055,2045
Winter,NO1,100.01501998274043,2035
Winter,NO1,99.75923564719139,2045
Winter,NO5,98.10800644782094,2035
Winter,NO2,98.09343271846892,2040
Summer,NO3,97.81889077765187,2040
Winter,NO5,97.76405093424755,2045
Spring,NO1,97.1959740210692,2040
Winter,NO1,96.96772421679199,2030
Spring,NO5,96.95192629238673,2040
Winter,NO2,95.67539006854385,2045
Winter,NO2,95.375865474563,2035
Winter,NO5,95.02681539621798,2030
Winter,NO1,92.66316012073544,2025
Winter,NO3,92.49588230962743,2050
Winter,NO2,92.32412584888428,2030
Winter,NO1,91.73611769037888,2020
Winter,NO1,90.92223130462757,2050
Winter,NO5,90.80989691832077,2025
Winter,NO2,89.97340699165304,2050
Winter,NO2,89.70281459568136,2025
Fall,NO2,89.68651688192648,2040
Fall,NO1,89.04880537202197,2045
Fall,NO1,88.63912689430421,2035
Winter,NO3,88.4506843584543,2035
Fall,NO5,87.27104859474733,2045
Fall,NO5,87.08318004735334,2035
Spring,NO1,86.34730253968702,2025
Fall,NO1,85.89159619945063,2025
Spring,NO1,85.6620592954764,2020
Fall,NO1,85.5504035120873,2020
Spring,NO3,85.51613982266669,2050
Fall,NO2,85.45130012834979,2035
Fall,NO2,85.18465395745895,2045
Fall,NO3,85.16849520680917,2050
Fall,NO1,84.95656952433507,2030
Spring,NO5,84.79207793273113,2025
Winter,NO2,84.5608358994365,2020
Spring,NO5,84.55114538229374,2035
Spring,NO1,84.34933938677182,2035
Fall,NO5,84.17376427546169,2025
Spring,NO2,83.98701150010046,2025
Fall,NO5,83.49680010759043,2030
Fall,NO2,83.23461606773412,2030
Fall,NO2,83.10543628233435,2025
Winter,NO5,82.98810951815157,2020
Fall,NO2,82.71683977832922,2050
Fall,NO1,82.49910834378623,2050
Spring,NO5,82.38560106444399,2030
Spring,NO1,82.31727358717805,2030
Spring,NO2,81.67618438443895,2040
Spring,NO2,81.28974582771949,2035
Spring,NO2,79.96781324991096,2030
Spring,NO5,78.95837173543401,2045
Spring,NO1,78.78837085566079,2045
Fall,NO2,78.63631906424413,2020
Spring,NO2,78.63631906424413,2020
Summer,NO1,78.04017021073537,2040
Winter,NO5,77.62637888486887,2050
Fall,NO3,77.50012435238108,2035
Spring,NO5,77.0635926829593,2020
Fall,NO5,77.06359268295927,2020
Summer,NO5,76.77818547817219,2040
Spring,NO3,74.61105720954684,2035
Spring,NO2,74.08115159684263,2045
Winter,NO3,71.02451239106544,2030
Winter,NO4,69.98072536568378,2050
Winter,NO4,69.48144822037274,2045
Winter,NO4,68.88336443849452,2030
Winter,NO4,68.83098539738258,2040
Winter,NO3,68.74796973008233,2020
Fall,NO5,68.2171269846231,2050
Summer,NO3,67.68581837619857,2050
Winter,NO3,67.04671164395012,2025
Summer,NO2,66.79592603085608,2040
Summer,NO2,66.56547917829036,2030
Winter,NO4,66.50906894950626,2020
Summer,NO2,66.43388444820529,2025
Summer,NO2,66.29865053891349,2035
Spring,NO1,65.6121310697114,2050
Summer,NO1,65.38289159045047,2025
Summer,NO1,64.94213648010181,2035
Winter,NO4,64.86988428114772,2035
Summer,NO1,64.63760740643474,2030
Summer,NO1,64.14679818243044,2045
Summer,NO5,64.07523375864146,2025
Summer,NO5,63.64329375049975,2035
Spring,NO4,63.574592433677026,2050
Fall,NO4,63.51094608399361,2050
Summer,NO5,63.35309927086722,2045
Summer,NO5,63.14100146835966,2030
Summer,NO2,62.992533074369206,2020
Summer,NO2,62.977196264710884,2045
Spring,NO3,62.468503069426596,2020
Spring,NO2,62.37214530704976,2050
Spring,NO3,61.437091603188115,2025
Fall,NO3,61.28252008832131,2030
Spring,NO4,60.96058200076011,2045
Summer,NO1,60.955865521842384,2020
Fall,NO3,60.79678243567275,2020
Fall,NO4,60.74925918720076,2045
Fall,NO3,60.68838021199846,2025
Spring,NO3,60.6238902288261,2030
Spring,NO4,60.58992998812412,2020
Fall,NO4,59.884433945304394,2030
Summer,NO3,59.76451611327426,2035
Fall,NO4,59.580846786959356,2020
Spring,NO4,58.99731076511034,2030
Spring,NO4,58.3939194394368,2025
Winter,NO4,58.3939194394368,2025
Fall,NO4,58.128504019436114,2025
Fall,NO4,57.74859582369028,2040
Spring,NO4,57.671281730793666,2040
Summer,NO1,56.5203268766543,2050
Summer,NO2,56.256376890818196,2050
Spring,NO5,55.47978614103592,2050
Fall,NO4,55.21210354381627,2035
Summer,NO5,52.82346239298587,2020
Spring,NO4,52.01827909430684,2035
Summer,NO3,46.50916773406216,2025
Summer,NO4,46.35641401511607,2050
Summer,NO3,45.789391172789394,2020
Summer,NO4,44.9015708439622,2020
Summer,NO3,44.672664262417825,2030
Summer,NO4,44.59601235695766,2025
Summer,NO5,44.56401888950598,2050
Summer,NO4,43.90770649586948,2030
Summer,NO4,43.29177106587279,2045
Summer,NO4,39.90164729970236,2040
Summer,NO4,38.108732783513865,2035
