Period,Process,Sum of PV,Region
2050,EE-WIND_OFF,7061.81399210092,O_Vestavind1
2050,EE-WIND_OFF,5000,O_Vestavind2
2045,EE-WIND_OFF_S6,2500,O_Sorvest
2050,EE-WIND_OFF_S1,2500,O_Sorvest
2050,EE-WIND_OFF_S2,2500,O_Sorvest
2050,EE-WIND_OFF_S3,2500,O_Sorvest
2050,EE-WIND_OFF_S4,2500,O_Sorvest
2050,EE-WIND_OFF_S5,2500,O_Sorvest
2050,EE-WIND_OFF_S6,2500,O_Sorvest
2050,EE-WIND_OFF_S7,2500,O_Sorvest
2050,EE-WIND_OFF,2063.81572481356,O_Nordvest
2045,EE-WIND_OFF_S2,2000,O_Sorvest
2045,EE-WIND_OFF_S3,2000,O_Sorvest
2045,EE-WIND_OFF_S5,2000,O_Sorvest
2030,EE-WIND_OFF_S6,1500,O_Sorvest
2035,EE-WIND_OFF_S6,1500,O_Sorvest
2040,EE-WIND_OFF_S6,1500,O_Sorvest
2045,EE-WIND_OFF,1092.54875011049,O_Nordvest
2040,EE-WIND_OFF_S5,561.745341820485,O_Sorvest
