TimeSliceSorted,Region,Average PV (ore/kWh),Period
01_SP_01,NO1,86.7864986681319,2030
01_SP_01,NO1,90.2018101762387,2035
01_SP_01,NO1,103.073902424673,2040
01_SP_01,NO1,87.76944107994089,2045
01_SP_01,NO1,79.57168354776441,2050
01_SP_01,NO2,86.3141017601674,2030
01_SP_01,NO2,88.0671325335183,2035
01_SP_01,NO2,87.41935228495069,2040
01_SP_01,NO2,83.8320834010498,2045
01_SP_01,NO2,77.9802498768091,2050
01_SP_01,NO3,61.1577061072296,2030
01_SP_01,NO3,75.9271481402905,2035
01_SP_01,NO3,116.00619235731001,2040
01_SP_01,NO3,117.813460205556,2045
01_SP_01,NO3,84.7285108015795,2050
01_SP_01,NO4,58.998775994623394,2030
01_SP_01,NO4,53.3777047913112,2035
01_SP_01,NO4,57.4637626404284,2040
01_SP_01,NO4,59.855508597262805,2045
01_SP_01,NO4,62.914720085915405,2050
01_SP_01,NO5,85.79667561616961,2030
01_SP_01,NO5,88.85947414523619,2035
01_SP_01,NO5,101.01242437618001,2040
01_SP_01,NO5,86.0140522583421,2045
01_SP_01,NO5,66.57860709642169,2050
01_SP_02,NO1,84.9862385087584,2030
01_SP_02,NO1,88.3716141944807,2035
01_SP_02,NO1,103.073902424673,2040
01_SP_02,NO1,87.76944107994089,2045
01_SP_02,NO1,78.8438547550297,2050
01_SP_02,NO2,85.1988575507865,2030
01_SP_02,NO2,87.9108018133505,2035
01_SP_02,NO2,87.41935228495069,2040
01_SP_02,NO2,83.8320834010499,2045
01_SP_02,NO2,77.4709519185253,2050
01_SP_02,NO3,61.1577061072296,2030
01_SP_02,NO3,75.9271481402905,2035
01_SP_02,NO3,114.456040659335,2040
01_SP_02,NO3,117.734177035367,2045
01_SP_02,NO3,84.7285108015795,2050
01_SP_02,NO4,58.8169843483836,2030
01_SP_02,NO4,53.225665216246604,2035
01_SP_02,NO4,55.944613976412995,2040
01_SP_02,NO4,59.855508597262805,2045
01_SP_02,NO4,62.914720085915405,2050
01_SP_02,NO5,85.79667561616961,2030
01_SP_02,NO5,88.85947414523619,2035
01_SP_02,NO5,101.01242437618001,2040
01_SP_02,NO5,86.01405225834199,2045
01_SP_02,NO5,65.86533487954169,2050
01_SP_03,NO1,84.1490432631537,2030
01_SP_03,NO1,87.3894243657157,2035
01_SP_03,NO1,102.65263054662701,2040
01_SP_03,NO1,87.76944107994089,2045
01_SP_03,NO1,78.8438547550297,2050
01_SP_03,NO2,85.1988575507865,2030
01_SP_03,NO2,87.9108018133505,2035
01_SP_03,NO2,87.41935228495069,2040
01_SP_03,NO2,83.8320834010498,2045
01_SP_03,NO2,77.4709519185253,2050
01_SP_03,NO3,61.1577061072296,2030
01_SP_03,NO3,75.9271481402905,2035
01_SP_03,NO3,114.456040659335,2040
01_SP_03,NO3,117.734177035367,2045
01_SP_03,NO3,84.7285108015795,2050
01_SP_03,NO4,58.8169843483836,2030
01_SP_03,NO4,53.225665216246604,2035
01_SP_03,NO4,55.944613976412995,2040
01_SP_03,NO4,59.855508597262805,2045
01_SP_03,NO4,62.914720085915405,2050
01_SP_03,NO5,85.79667561616961,2030
01_SP_03,NO5,88.85947414523619,2035
01_SP_03,NO5,101.01242437618001,2040
01_SP_03,NO5,86.01405225834199,2045
01_SP_03,NO5,65.86533487954169,2050
01_SP_04,NO1,83.8768883138999,2030
01_SP_04,NO1,87.08228466233149,2035
01_SP_04,NO1,101.74323179788401,2040
01_SP_04,NO1,86.1817122612167,2045
01_SP_04,NO1,78.8438547550297,2050
01_SP_04,NO2,83.1875263141754,2030
01_SP_04,NO2,85.40890872632801,2035
01_SP_04,NO2,86.1152950706969,2040
01_SP_04,NO2,82.27610915870011,2045
01_SP_04,NO2,77.4709519185253,2050
01_SP_04,NO3,61.1577061072296,2030
01_SP_04,NO3,75.9271481402905,2035
01_SP_04,NO3,114.456040659335,2040
01_SP_04,NO3,117.734177035367,2045
01_SP_04,NO3,84.7285108015795,2050
01_SP_04,NO4,58.8169843483836,2030
01_SP_04,NO4,53.225665216246604,2035
01_SP_04,NO4,55.944613976412995,2040
01_SP_04,NO4,59.855508597262805,2045
01_SP_04,NO4,62.914720085915405,2050
01_SP_04,NO5,85.79667561616961,2030
01_SP_04,NO5,88.85947414523619,2035
01_SP_04,NO5,101.01242437618001,2040
01_SP_04,NO5,86.01405225834199,2045
01_SP_04,NO5,65.86533487954169,2050
01_SP_05,NO1,83.3595891188198,2030
01_SP_05,NO1,87.08228466233149,2035
01_SP_05,NO1,98.99217588865619,2040
01_SP_05,NO1,84.25726145364669,2045
01_SP_05,NO1,77.97348338904871,2050
01_SP_05,NO2,81.2568194402451,2030
01_SP_05,NO2,82.87120739055659,2035
01_SP_05,NO2,83.4192602796539,2040
01_SP_05,NO2,80.3901473672816,2045
01_SP_05,NO2,76.4140137212678,2050
01_SP_05,NO3,61.1577061072296,2030
01_SP_05,NO3,75.9271481402905,2035
01_SP_05,NO3,114.456040659335,2040
01_SP_05,NO3,117.734177035367,2045
01_SP_05,NO3,84.7285108015795,2050
01_SP_05,NO4,58.8169843483836,2030
01_SP_05,NO4,53.225665216246604,2035
01_SP_05,NO4,55.944613976412995,2040
01_SP_05,NO4,59.855508597262805,2045
01_SP_05,NO4,62.914720085915405,2050
01_SP_05,NO5,85.2688192946593,2030
01_SP_05,NO5,88.85947414523619,2035
01_SP_05,NO5,101.01242437618001,2040
01_SP_05,NO5,85.9767974016803,2045
01_SP_05,NO5,65.15661192283889,2050
01_SP_06,NO1,83.8768883138998,2030
01_SP_06,NO1,87.08228466233149,2035
01_SP_06,NO1,99.3602781593561,2040
01_SP_06,NO1,84.4263141365077,2045
01_SP_06,NO1,77.8172970495306,2050
01_SP_06,NO2,83.01069504335149,2030
01_SP_06,NO2,83.9510157291117,2035
01_SP_06,NO2,83.7800005049398,2040
01_SP_06,NO2,80.5558189964853,2045
01_SP_06,NO2,76.26095110854,2050
01_SP_06,NO3,61.1577061072296,2030
01_SP_06,NO3,75.9271481402905,2035
01_SP_06,NO3,114.456040659335,2040
01_SP_06,NO3,117.734177035367,2045
01_SP_06,NO3,84.7285108015795,2050
01_SP_06,NO4,58.8169843483836,2030
01_SP_06,NO4,53.225665216246604,2035
01_SP_06,NO4,55.944613976412995,2040
01_SP_06,NO4,59.855508597262805,2045
01_SP_06,NO4,62.914720085915405,2050
01_SP_06,NO5,85.79667561616961,2030
01_SP_06,NO5,88.85947414523619,2035
01_SP_06,NO5,101.01242437618001,2040
01_SP_06,NO5,86.01405225834199,2045
01_SP_06,NO5,65.0066105623657,2050
01_SP_07,NO1,87.7556422511388,2030
01_SP_07,NO1,89.4317220434645,2035
01_SP_07,NO1,101.44176365841601,2040
01_SP_07,NO1,84.4636254147543,2045
01_SP_07,NO1,78.5710369711525,2050
01_SP_07,NO2,85.1988575507865,2030
01_SP_07,NO2,86.2410337220652,2035
01_SP_07,NO2,85.81985629401831,2040
01_SP_07,NO2,80.59238404916701,2045
01_SP_07,NO2,76.99961623172939,2050
01_SP_07,NO3,62.8855736187305,2030
01_SP_07,NO3,75.9271481402905,2035
01_SP_07,NO3,114.456040659335,2040
01_SP_07,NO3,117.734177035367,2045
01_SP_07,NO3,84.7285108015795,2050
01_SP_07,NO4,61.1518046903994,2030
01_SP_07,NO4,53.368275729041,2035
01_SP_07,NO4,55.944613976412995,2040
01_SP_07,NO4,59.855508597262805,2045
01_SP_07,NO4,62.914720085915405,2050
01_SP_07,NO5,85.79667561616961,2030
01_SP_07,NO5,88.85947414523619,2035
01_SP_07,NO5,101.01242437618001,2040
01_SP_07,NO5,86.01405225834199,2045
01_SP_07,NO5,65.7305023830913,2050
01_SP_08,NO1,87.7592275067702,2030
01_SP_08,NO1,90.6729328012614,2035
01_SP_08,NO1,102.152475446167,2040
01_SP_08,NO1,83.78060147282301,2045
01_SP_08,NO1,75.1433475048624,2050
01_SP_08,NO2,85.1988575507865,2030
01_SP_08,NO2,86.13213379143569,2035
01_SP_08,NO2,86.5163538460145,2040
01_SP_08,NO2,79.9230205860743,2045
01_SP_08,NO2,73.6404805547651,2050
01_SP_08,NO3,65.469351727421,2030
01_SP_08,NO3,77.28603792808529,2035
01_SP_08,NO3,114.456040659335,2040
01_SP_08,NO3,117.734177035367,2045
01_SP_08,NO3,84.7285108015795,2050
01_SP_08,NO4,64.0599646928726,2030
01_SP_08,NO4,55.0020344455678,2035
01_SP_08,NO4,55.944613976412995,2040
01_SP_08,NO4,59.855508597262805,2045
01_SP_08,NO4,62.914720085915405,2050
01_SP_08,NO5,85.8001891666884,2030
01_SP_08,NO5,88.85947414523619,2035
01_SP_08,NO5,101.01242437618001,2040
01_SP_08,NO5,85.4904096661459,2045
01_SP_08,NO5,62.4385494196663,2050
01_SP_09,NO1,87.7556422511388,2030
01_SP_09,NO1,88.1731021902216,2035
01_SP_09,NO1,97.9533084383356,2040
01_SP_09,NO1,78.0076100586202,2045
01_SP_09,NO1,65.29604648648811,2050
01_SP_09,NO2,82.452851180597,2030
01_SP_09,NO2,83.68229979261659,2035
01_SP_09,NO2,82.4011701783397,2040
01_SP_09,NO2,74.26548900015561,2045
01_SP_09,NO2,63.9901255567583,2050
01_SP_09,NO3,62.9520325378612,2030
01_SP_09,NO3,75.9271481402905,2035
01_SP_09,NO3,114.456040659335,2040
01_SP_09,NO3,117.734177035367,2045
01_SP_09,NO3,84.7285108015795,2050
01_SP_09,NO4,61.59299188710399,2030
01_SP_09,NO4,53.225665216246604,2035
01_SP_09,NO4,55.944613976413095,2040
01_SP_09,NO4,59.855508597262805,2045
01_SP_09,NO4,62.914720085915405,2050
01_SP_09,NO5,85.79667561616961,2030
01_SP_09,NO5,88.85947414523619,2035
