TimeSliceSorted,Sum of PV,Process,Region
01_SP_01,27.3329417812079,EE-WIND_OFF_S5,O_Sorvest
01_SP_01,72.7255647111294,EE-WIND_OFF_S6,O_Sorvest
01_SP_02,27.194910563244,EE-WIND_OFF_S5,O_Sorvest
01_SP_02,72.358300976602,EE-WIND_OFF_S6,O_Sorvest
01_SP_03,27.1286555786213,EE-WIND_OFF_S5,O_Sorvest
01_SP_03,72.1820143840288,EE-WIND_OFF_S6,O_Sorvest
01_SP_04,27.065161218358,EE-WIND_OFF_S5,O_Sorvest
01_SP_04,72.0130730661461,EE-WIND_OFF_S6,O_Sorvest
01_SP_05,27.0541187209208,EE-WIND_OFF_S5,O_Sorvest
01_SP_05,71.9836919673839,EE-WIND_OFF_S6,O_Sorvest
01_SP_06,27.0265124773281,EE-WIND_OFF_S5,O_Sorvest
01_SP_06,71.9102392204784,EE-WIND_OFF_S6,O_Sorvest
01_SP_07,27.065161218358,EE-WIND_OFF_S5,O_Sorvest
01_SP_07,72.0130730661461,EE-WIND_OFF_S6,O_Sorvest
01_SP_08,27.1176130811842,EE-WIND_OFF_S5,O_Sorvest
01_SP_08,72.1526332852666,EE-WIND_OFF_S6,O_Sorvest
01_SP_09,27.1783468170883,EE-WIND_OFF_S5,O_Sorvest
01_SP_09,72.3142293284587,EE-WIND_OFF_S6,O_Sorvest
01_SP_10,27.2418411773517,EE-WIND_OFF_S5,O_Sorvest
01_SP_10,72.4831706463413,EE-WIND_OFF_S6,O_Sorvest
01_SP_11,27.0182306042502,EE-WIND_OFF_S5,O_Sorvest
01_SP_11,71.8882033964068,EE-WIND_OFF_S6,O_Sorvest
01_SP_12,27.0762037157951,EE-WIND_OFF_S5,O_Sorvest
01_SP_12,72.0424541649083,EE-WIND_OFF_S6,O_Sorvest
01_SP_13,27.1176130811842,EE-WIND_OFF_S5,O_Sorvest
01_SP_13,72.1526332852666,EE-WIND_OFF_S6,O_Sorvest
01_SP_14,27.1728255683698,EE-WIND_OFF_S5,O_Sorvest
01_SP_14,72.2995387790776,EE-WIND_OFF_S6,O_Sorvest
01_SP_15,27.2501230504296,EE-WIND_OFF_S5,O_Sorvest
01_SP_15,72.5052064704129,EE-WIND_OFF_S6,O_Sorvest
01_SP_16,27.3495055273635,EE-WIND_OFF_S5,O_Sorvest
01_SP_16,72.7696363592727,EE-WIND_OFF_S6,O_Sorvest
01_SP_17,27.4516486286568,EE-WIND_OFF_S5,O_Sorvest
01_SP_17,73.041411522823,EE-WIND_OFF_S6,O_Sorvest
01_SP_18,27.4544092530161,EE-WIND_OFF_S5,O_Sorvest
01_SP_18,73.0487567975136,EE-WIND_OFF_S6,O_Sorvest
01_SP_19,27.4571698773754,EE-WIND_OFF_S5,O_Sorvest
01_SP_19,73.0561020722042,EE-WIND_OFF_S6,O_Sorvest
01_SP_20,27.4350848825012,EE-WIND_OFF_S5,O_Sorvest
01_SP_20,72.9973398746798,EE-WIND_OFF_S6,O_Sorvest
01_SP_21,27.4185211363455,EE-WIND_OFF_S5,O_Sorvest
01_SP_21,72.9532682265365,EE-WIND_OFF_S6,O_Sorvest
01_SP_22,27.4129998876269,EE-WIND_OFF_S5,O_Sorvest
01_SP_22,72.9385776771554,EE-WIND_OFF_S6,O_Sorvest
01_SP_23,27.5123823645609,EE-WIND_OFF_S5,O_Sorvest
01_SP_23,73.2030075660151,EE-WIND_OFF_S6,O_Sorvest
01_SP_24,27.5289461107166,EE-WIND_OFF_S5,O_Sorvest
01_SP_24,73.2470792141584,EE-WIND_OFF_S6,O_Sorvest
02_SU_01,21.6985074639222,EE-WIND_OFF_S5,O_Sorvest
02_SU_01,57.7338590677181,EE-WIND_OFF_S6,O_Sorvest
02_SU_02,21.5604762459583,EE-WIND_OFF_S5,O_Sorvest
02_SU_02,57.3665953331907,EE-WIND_OFF_S6,O_Sorvest
02_SU_03,21.3948387844017,EE-WIND_OFF_S5,O_Sorvest
02_SU_03,56.9258788517577,EE-WIND_OFF_S6,O_Sorvest
02_SU_04,21.1546644651445,EE-WIND_OFF_S5,O_Sorvest
02_SU_04,56.2868399536799,EE-WIND_OFF_S6,O_Sorvest
02_SU_05,21.0055907497435,EE-WIND_OFF_S5,O_Sorvest
02_SU_05,55.8901951203902,EE-WIND_OFF_S6,O_Sorvest
02_SU_06,20.900687024091,EE-WIND_OFF_S5,O_Sorvest
02_SU_06,55.6110746821494,EE-WIND_OFF_S6,O_Sorvest
02_SU_07,20.8647989074204,EE-WIND_OFF_S5,O_Sorvest
02_SU_07,55.5155861111722,EE-WIND_OFF_S6,O_Sorvest
02_SU_08,20.9420963894802,EE-WIND_OFF_S5,O_Sorvest
02_SU_08,55.7212538025076,EE-WIND_OFF_S6,O_Sorvest
02_SU_09,21.0911701048811,EE-WIND_OFF_S5,O_Sorvest
02_SU_09,56.1178986357973,EE-WIND_OFF_S6,O_Sorvest
02_SU_10,21.3064988049048,EE-WIND_OFF_S5,O_Sorvest
02_SU_10,56.6908300616601,EE-WIND_OFF_S6,O_Sorvest
02_SU_11,20.8233895420312,EE-WIND_OFF_S5,O_Sorvest
02_SU_11,55.405406990814,EE-WIND_OFF_S6,O_Sorvest
02_SU_12,21.1049732266775,EE-WIND_OFF_S5,O_Sorvest
02_SU_12,56.15462500925,EE-WIND_OFF_S6,O_Sorvest
02_SU_13,21.4058812818388,EE-WIND_OFF_S5,O_Sorvest
02_SU_13,56.9552599505199,EE-WIND_OFF_S6,O_Sorvest
02_SU_14,21.726113707515,EE-WIND_OFF_S5,O_Sorvest
02_SU_14,57.8073118146236,EE-WIND_OFF_S6,O_Sorvest
02_SU_15,21.9911336460057,EE-WIND_OFF_S5,O_Sorvest
02_SU_15,58.5124581849164,EE-WIND_OFF_S6,O_Sorvest
02_SU_16,22.1981804729515,EE-WIND_OFF_S5,O_Sorvest
02_SU_16,59.0633537867076,EE-WIND_OFF_S6,O_Sorvest
